NBA Players - Floater Statistics
--------------------------------------------------------------------------------
                  Player  Floaters Attempted  Floaters Made  Floaters Attempted Per Game  Floaters Made Per Game
            Jake LaRavia                   1              0                         0.02                    0.00
            Jayson Tatum                   2              0                         0.04                    0.00
       Ronald Holland II                   3              0                         0.06                    0.00
        Tristan da Silva                   1              0                         0.02                    0.00
               Zach Edey                   1              0                         0.03                    0.00
              Keon Ellis                   2              0                         0.04                    0.00
           Aaron Holiday                   2              0                         0.06                    0.00
          Svi Mykhailiuk                   1              0                         0.06                    0.00
        Tristan Thompson                   1              0                         0.04                    0.00
          Vasilije Micić                   2              0                         0.06                    0.00
           Mark Williams                   4              0                         0.19                    0.00
            Daniel Theis                   1              0                         0.03                    0.00
          Daniel Gafford                   2              0                         0.04                    0.00
              Isaiah Joe                   1              0                         0.02                    0.00
         Dennis Schröder                   1              0                         0.02                    0.00
      Kristaps Porziņģis                   3              0                         0.12                    0.00
              Gui Santos                   1              0                         0.04                    0.00
           Stephen Curry                   3              0                         0.08                    0.00
        Kevin Porter Jr.                   2              0                         0.05                    0.00
            Ryan Rollins                   1              0                         0.03                    0.00
       Andre Jackson Jr.                   1              0                         0.02                    0.00
          Quentin Grimes                   1              0                         0.02                    0.00
               Matt Ryan                   1              0                         0.06                    0.00
          Justin Edwards                   1              0                         0.06                    0.00
             Luke Kornet                   1              0                         0.02                    0.00
            Jerami Grant                   1              0                         0.03                    0.00
          Garrett Temple                   1              0                         0.06                    0.00
            Johnny Davis                   2              0                         0.06                    0.00
       Bogdan Bogdanović                   1              0                         0.04                    0.00
         Larry Nance Jr.                   1              0                         0.05                    0.00
              Taj Gibson                   2              0                         0.10                    0.00
        Orlando Robinson                   2              0                         0.14                    0.00
             Isaiah Wong                   1              0                         0.06                    0.00
         Tosan Evbuomwan                   2              0                         0.13                    0.00
           Jabari Walker                   1              0                         0.03                    0.00
          Alperen Sengun                   2              0                         0.04                    0.00
           Kyle Anderson                   2              0                         0.06                    0.00
             Ayo Dosunmu                   3              0                         0.08                    0.00
         Jeff Dowtin Jr.                   1              0                         0.05                    0.00
            Bronny James                   2              0                         0.13                    0.00
          Mouhamed Gueye                   1              0                         0.20                    0.00
           Nick Richards                   2              0                         0.07                    0.00
             Tyler Kolek                   1              0                         0.04                    0.00
             Paul George                   1              0                         0.03                    0.00
           Pascal Siakam                   1              0                         0.02                    0.00
 Olivier-Maxence Prosper                   1              0                         0.03                    0.00
         Bilal Coulibaly                   6              0                         0.14                    0.00
           Klay Thompson                   1              0                         0.02                    0.00
              GG Jackson                   2              0                         0.33                    0.00
